location,price,total_sqft,No. of Bedrooms,School,24X7Security,CarParking,Hospital,LiftAvailable
Kondapur,14500000,1908,3,0,0,0,0,1
Kukatpally,7098999,1090,2,0,0,0,0,1
Bachupally,8953000,1905,3,0,1,0,0,1
Bachupally,7872000,1675,3,0,1,0,0,1
Bachupally,7590000,1615,3,0,1,0,0,1
Bachupally,5452000,1160,2,0,1,0,0,1
Bachupally,8459000,1800,3,0,1,0,0,1
Bachupally,5640000,1200,2,0,1,0,0,1
Mallapur,4500000,908,2,0,0,0,0,0
Kukatpally,4830000,1100,2,0,0,0,0,0
Mehdipatnam,4900000,1380,2,0,0,0,0,0
Hitech City,6000000,970,2,0,0,0,0,1
Mallapur,4500000,1160,2,0,0,0,0,0
Masab Tank,4299000,840,2,0,0,0,0,0
Zamistanpur,4750000,1100,2,0,0,0,0,0
Madhura Nagar,4200000,931,2,0,0,1,0,1
Jubilee Hills,12500000,1670,3,0,0,0,0,0
Kukatpally,12000000,2000,3,0,1,1,0,1
Kukatpally,12000000,2000,3,0,1,1,0,1
Miyapur,8298999,1554,3,0,0,0,0,0
Miyapur,8898000,1650,3,0,0,0,0,0
Miyapur,7998999,1554,3,0,0,0,0,0
Jubilee Hills,23000000,1900,3,0,1,1,0,1
Jubilee Hills,22900000,1900,3,0,1,1,0,1
Jubilee Hills,23000000,1900,3,0,0,0,0,0
Jubilee Hills,23000000,1900,3,0,1,1,0,1
Kukatpally,14500000,1740,3,0,1,1,0,1
Madhapur,20000000,3145,3,0,1,0,0,0
Beeramguda,2800000,963,2,0,0,0,0,0
Ghansi Bazaar,3500000,909,3,0,0,0,0,0
Chintalakunta,3500000,850,2,0,0,0,0,0
Chinthal Basthi,4700000,950,2,0,0,0,0,0
Kukatpally,11399999,1730,3,0,0,0,0,0
Gajularamaram,6931000,1555,3,0,0,0,0,0
Gajularamaram,5256000,1180,2,0,0,0,0,1
Kukatpally,11100000,1675,3,0,0,0,0,1
Nallakunta,5300000,845,2,0,0,0,0,0
Bowenpally,4500000,1100,2,0,0,0,0,1
Nallakunta,14600000,1905,3,0,0,0,0,1
Nallakunta,11200000,1460,3,0,0,0,0,1
